TITLE,URL,RESULT
train accident in odisha in 2023,,TRUE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
it raids on brs leaders ,,TRUE
odisha train accident 2023,,TRUE
odisha train accident 2023,,TRUE
odisha train accident 2023,,TRUE
odisha train accident 2023,,TRUE
it raids on brs leaders,,TRUE
train accident in odisha 2023,,TRUE
train accident in odisha 2023,,TRUE
train accident in odisha 2023,,TRUE
train accident in odisha 2023,,TRUE
train accident in odisha 2023,,TRUE
train accident in odisha 2023,,TRUE
train accident in odisha 2023,,TRUE
train accident in odisha 2023,,TRUE
train accident in odisha 2023,,TRUE
train accident in odisha 2023,,TRUE
train accident in hyderabad 2023,,FALSE
train accident in hyderabad 2023,,FALSE
train accident in hyderabad 2023,,FALSE
train accident in hyderabad 2023,,FALSE
train accident in hyderabad 2023,,FALSE
train accident in hyderabad 2023,,FALSE
train accident in hyderabad 2023,,FALSE
train accident in hyderabad 2023,,FALSE
train accident in odisha in 2023,,TRUE
train accident in odisha in 2023,,TRUE
it raids on brs leaders,,TRUE
cyclone biparjoy in gujarat,,TRUE
200+ dead in odisha train accident,,TRUE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
train accident in hyderabad in 2023,,FALSE
is,,TRUE
train,,TRUE
is,,False
are,,False
train is,,False
train is are,,False
she is dead,,False
train accident not happened in odisha in 2023,,True
